case_id,resource,activity,start_time,end_time
47,Appraiser-000001,Appraise property,2023-02-14 08:20:57.294000+00:00,2023-02-14 08:42:52.854000+00:00
49,Clerk-000002,Check application form completeness,2023-02-14 08:30:00+00:00,2023-02-14 08:45:47.914000+00:00
49,Clerk-000007,Check credit history,2023-02-14 08:45:47.914000+00:00,2023-02-14 08:48:45.169000+00:00
48,AML Investigator-000001,AML check,2023-02-14 08:14:03.635000+00:00,2023-02-14 08:52:49.458000+00:00
45,Clerk-000006,Check credit history,2023-02-14 07:48:49.314000+00:00,2023-02-14 08:54:07.313000+00:00
46,Applicant-000001,Applicant completes form,2023-02-14 07:57:57.955000+00:00,2023-02-14 08:57:57.955000+00:00
48,Appraiser-000002,Appraise property,2023-02-14 08:14:03.635000+00:00,2023-02-14 09:02:40.579000+00:00
46,Clerk-000008,Check application form completeness,2023-02-14 08:57:57.955000+00:00,2023-02-14 09:10:12.097000+00:00
50,Clerk-000001,Check application form completeness,2023-02-14 09:00:00+00:00,2023-02-14 09:11:01.813000+00:00
47,AML Investigator-000001,AML check,2023-02-14 08:52:49.458000+00:00,2023-02-14 09:16:20.512000+00:00
46,Appraiser-000002,Appraise property,2023-02-14 09:10:12.097000+00:00,2023-02-14 09:16:43.139000+00:00
49,Appraiser-000001,Appraise property,2023-02-14 08:45:47.914000+00:00,2023-02-14 09:18:41.001000+00:00
48,Loan Officer-000001,Assess loan risk,2023-02-14 09:02:40.579000+00:00,2023-02-14 09:22:40.579000+00:00
50,Clerk-000003,Check credit history,2023-02-14 09:11:01.813000+00:00,2023-02-14 09:25:37.038000+00:00
46,AML Investigator-000001,AML check,2023-02-14 09:16:20.512000+00:00,2023-02-14 09:27:45.449000+00:00
46,Clerk-000005,Check credit history,2023-02-14 09:10:12.097000+00:00,2023-02-14 09:28:23.879000+00:00
51,Clerk-000002,Check application form completeness,2023-02-14 09:30:00+00:00,2023-02-14 09:30:53.906000+00:00
48,Clerk-000004,Reject application,2023-02-14 09:22:40.579000+00:00,2023-02-14 09:32:40.579000+00:00
50,Appraiser-000002,Appraise property,2023-02-14 09:16:43.139000+00:00,2023-02-14 09:34:16.901000+00:00
47,Loan Officer-000003,Assess loan risk,2023-02-14 09:16:20.512000+00:00,2023-02-14 09:36:20.512000+00:00
45,AML Investigator-000002,AML check,2023-02-14 07:48:49.314000+00:00,2023-02-14 09:37:06.932000+00:00
50,AML Investigator-000002,AML check,2023-02-14 09:37:06.932000+00:00,2023-02-14 09:37:55.671000+00:00
51,AML Investigator-000002,AML check,2023-02-14 09:37:55.671000+00:00,2023-02-14 09:38:46.375000+00:00
47,Loan Officer-000004,Design loan offer,2023-02-14 09:36:20.512000+00:00,2023-02-14 09:42:32.007000+00:00
49,AML Investigator-000001,AML check,2023-02-14 09:27:45.449000+00:00,2023-02-14 09:46:34.148000+00:00
46,Loan Officer-000002,Assess loan risk,2023-02-14 09:28:23.879000+00:00,2023-02-14 09:48:23.879000+00:00
51,Appraiser-000001,Appraise property,2023-02-14 09:30:53.906000+00:00,2023-02-14 09:50:17.850000+00:00
45,Loan Officer-000001,Assess loan risk,2023-02-14 09:37:06.932000+00:00,2023-02-14 09:57:06.932000+00:00
50,Loan Officer-000003,Assess loan risk,2023-02-14 09:37:55.671000+00:00,2023-02-14 09:57:55.671000+00:00
46,Clerk-000006,Reject application,2023-02-14 09:48:23.879000+00:00,2023-02-14 09:58:23.879000+00:00
50,Loan Officer-000002,Design loan offer,2023-02-14 09:57:55.671000+00:00,2023-02-14 10:01:14.898000+00:00
47,Senior Officer-000001,Approve loan offer,2023-02-14 09:42:32.007000+00:00,2023-02-14 10:02:32.007000+00:00
49,Loan Officer-000004,Assess loan risk,2023-02-14 09:46:34.148000+00:00,2023-02-14 10:06:34.148000+00:00
45,Clerk-000008,Reject application,2023-02-14 09:57:06.932000+00:00,2023-02-14 10:07:06.932000+00:00
51,Clerk-000007,Check credit history,2023-02-14 09:30:53.906000+00:00,2023-02-14 10:07:08.565000+00:00
47,Clerk-000003,Approve application,2023-02-14 10:02:32.007000+00:00,2023-02-14 10:07:32.007000+00:00
52,Clerk-000001,Check application form completeness,2023-02-14 10:00:00+00:00,2023-02-14 10:15:34.427000+00:00
49,Clerk-000005,Reject application,2023-02-14 10:06:34.148000+00:00,2023-02-14 10:16:34.148000+00:00
52,Clerk-000002,Check credit history,2023-02-14 10:15:34.427000+00:00,2023-02-14 10:17:01.607000+00:00
50,Senior Officer-000002,Approve loan offer,2023-02-14 10:01:14.898000+00:00,2023-02-14 10:21:14.898000+00:00
50,Clerk-000004,Cancel application,2023-02-14 10:21:14.898000+00:00,2023-02-14 10:26:14.898000+00:00
51,Loan Officer-000001,Assess loan risk,2023-02-14 10:07:08.565000+00:00,2023-02-14 10:27:08.565000+00:00
53,Clerk-000006,Check application form completeness,2023-02-14 10:30:00+00:00,2023-02-14 10:36:45.753000+00:00
51,Loan Officer-000003,Design loan offer,2023-02-14 10:27:08.565000+00:00,2023-02-14 10:47:15.767000+00:00
52,AML Investigator-000002,AML check,2023-02-14 10:15:34.427000+00:00,2023-02-14 10:48:16.432000+00:00
52,Appraiser-000002,Appraise property,2023-02-14 10:15:34.427000+00:00,2023-02-14 10:54:40.439000+00:00
53,AML Investigator-000001,AML check,2023-02-14 10:36:45.753000+00:00,2023-02-14 11:06:54.201000+00:00
51,Senior Officer-000001,Approve loan offer,2023-02-14 10:47:15.767000+00:00,2023-02-14 11:07:15.767000+00:00
51,Clerk-000003,Cancel application,2023-02-14 11:07:15.767000+00:00,2023-02-14 11:12:15.767000+00:00
52,Loan Officer-000002,Assess loan risk,2023-02-14 10:54:40.439000+00:00,2023-02-14 11:14:40.439000+00:00
52,Loan Officer-000004,Design loan offer,2023-02-14 11:14:40.439000+00:00,2023-02-14 11:16:06.682000+00:00
53,Clerk-000008,Check credit history,2023-02-14 10:36:45.753000+00:00,2023-02-14 11:22:54.073000+00:00
53,Appraiser-000001,Appraise property,2023-02-14 10:36:45.753000+00:00,2023-02-14 11:25:59.530000+00:00
52,Senior Officer-000002,Approve loan offer,2023-02-14 11:16:06.682000+00:00,2023-02-14 11:36:06.682000+00:00
54,Clerk-000007,Check application form completeness,2023-02-14 11:00:00+00:00,2023-02-14 11:39:38.747000+00:00
52,Clerk-000005,Cancel application,2023-02-14 11:36:06.682000+00:00,2023-02-14 11:41:06.682000+00:00
53,Loan Officer-000001,Assess loan risk,2023-02-14 11:25:59.530000+00:00,2023-02-14 11:45:59.530000+00:00
53,Loan Officer-000003,Design loan offer,2023-02-14 11:45:59.530000+00:00,2023-02-14 11:47:09.582000+00:00
54,Appraiser-000002,Appraise property,2023-02-14 11:39:38.747000+00:00,2023-02-14 11:48:47.975000+00:00
53,Senior Officer-000001,Approve loan offer,2023-02-14 11:47:09.582000+00:00,2023-02-14 12:07:09.582000+00:00
53,Clerk-000006,Approve application,2023-02-14 12:07:09.582000+00:00,2023-02-14 12:12:09.582000+00:00
54,Clerk-000002,Check credit history,2023-02-14 11:39:38.747000+00:00,2023-02-14 12:15:23.530000+00:00
56,Clerk-000004,Check application form completeness,2023-02-14 12:00:00+00:00,2023-02-14 12:26:29.386000+00:00
56,Clerk-000003,Check credit history,2023-02-14 12:26:29.386000+00:00,2023-02-14 12:30:37.099000+00:00
56,AML Investigator-000001,AML check,2023-02-14 12:26:29.386000+00:00,2023-02-14 12:33:56.581000+00:00
54,AML Investigator-000002,AML check,2023-02-14 11:39:38.747000+00:00,2023-02-14 12:35:57.694000+00:00
57,Clerk-000008,Check application form completeness,2023-02-14 12:30:00+00:00,2023-02-14 12:35:59.995000+00:00
57,Appraiser-000002,Appraise property,2023-02-14 12:35:59.995000+00:00,2023-02-14 12:43:29.853000+00:00
57,Clerk-000007,Check credit history,2023-02-14 12:35:59.995000+00:00,2023-02-14 12:43:51.998000+00:00
56,Appraiser-000001,Appraise property,2023-02-14 12:26:29.386000+00:00,2023-02-14 12:45:52.639000+00:00
54,Loan Officer-000002,Assess loan risk,2023-02-14 12:35:57.694000+00:00,2023-02-14 12:55:57.694000+00:00
57,AML Investigator-000001,AML check,2023-02-14 12:35:59.995000+00:00,2023-02-14 13:02:24.930000+00:00
56,Loan Officer-000004,Assess loan risk,2023-02-14 12:45:52.639000+00:00,2023-02-14 13:05:52.639000+00:00
54,Clerk-000005,Reject application,2023-02-14 12:55:57.694000+00:00,2023-02-14 13:05:57.694000+00:00
56,Loan Officer-000003,Design loan offer,2023-02-14 13:05:52.639000+00:00,2023-02-14 13:10:14.249000+00:00
58,Clerk-000006,Check application form completeness,2023-02-14 13:00:00+00:00,2023-02-14 13:15:39.977000+00:00
55,Clerk-000001,Check application form completeness,2023-02-14 11:30:00+00:00,2023-02-14 13:19:04.015000+00:00
57,Loan Officer-000001,Assess loan risk,2023-02-14 13:02:24.930000+00:00,2023-02-14 13:22:24.930000+00:00
55,AML Investigator-000001,AML check,2023-02-14 13:19:04.015000+00:00,2023-02-14 13:23:25.480000+00:00
55,Appraiser-000001,Appraise property,2023-02-14 13:19:04.015000+00:00,2023-02-14 13:23:28.776000+00:00
57,Loan Officer-000002,Design loan offer,2023-02-14 13:22:24.930000+00:00,2023-02-14 13:27:44.066000+00:00
56,Senior Officer-000002,Approve loan offer,2023-02-14 13:10:14.249000+00:00,2023-02-14 13:30:14.249000+00:00
55,Clerk-000004,Check credit history,2023-02-14 13:19:04.015000+00:00,2023-02-14 13:31:19.768000+00:00
56,Clerk-000008,Cancel application,2023-02-14 13:30:14.249000+00:00,2023-02-14 13:35:14.249000+00:00
57,Senior Officer-000001,Approve loan offer,2023-02-14 13:27:44.066000+00:00,2023-02-14 13:47:44.066000+00:00
55,Loan Officer-000004,Assess loan risk,2023-02-14 13:31:19.768000+00:00,2023-02-14 13:51:19.768000+00:00
57,Clerk-000007,Cancel application,2023-02-14 13:47:44.066000+00:00,2023-02-14 13:52:44.066000+00:00
60,Clerk-000005,Check application form completeness,2023-02-14 14:00:00+00:00,2023-02-14 14:01:19.822000+00:00
58,Appraiser-000002,Appraise property,2023-02-14 13:15:39.977000+00:00,2023-02-14 14:04:19.176000+00:00
60,AML Investigator-000001,AML check,2023-02-14 14:01:19.822000+00:00,2023-02-14 14:07:10.821000+00:00
58,AML Investigator-000002,AML check,2023-02-14 13:15:39.977000+00:00,2023-02-14 14:09:44.429000+00:00
55,Loan Officer-000003,Design loan offer,2023-02-14 13:51:19.768000+00:00,2023-02-14 14:28:18.446000+00:00
58,Clerk-000002,Check credit history,2023-02-14 13:15:39.977000+00:00,2023-02-14 14:34:37.701000+00:00
60,Appraiser-000001,Appraise property,2023-02-14 14:01:19.822000+00:00,2023-02-14 14:36:39.572000+00:00
59,Clerk-000003,Check application form completeness,2023-02-14 13:30:00+00:00,2023-02-14 14:38:37.285000+00:00
59,Clerk-000004,Return application back to applicant,2023-02-14 14:38:37.285000+00:00,2023-02-14 14:43:37.285000+00:00
55,Senior Officer-000002,Approve loan offer,2023-02-14 14:28:18.446000+00:00,2023-02-14 14:48:18.446000+00:00
55,Clerk-000008,Approve application,2023-02-14 14:48:18.446000+00:00,2023-02-14 14:53:18.446000+00:00
58,Loan Officer-000001,Assess loan risk,2023-02-14 14:34:37.701000+00:00,2023-02-14 14:54:37.701000+00:00
58,Loan Officer-000002,Design loan offer,2023-02-14 14:54:37.701000+00:00,2023-02-14 14:58:53.761000+00:00
60,Clerk-000006,Check credit history,2023-02-14 14:01:19.822000+00:00,2023-02-15 07:08:06.623000+00:00
58,Senior Officer-000001,Approve loan offer,2023-02-14 14:58:53.761000+00:00,2023-02-15 07:18:53.761000+00:00
62,Clerk-000007,Check application form completeness,2023-02-14 15:00:00+00:00,2023-02-15 07:22:17.865000+00:00
58,Clerk-000005,Approve application,2023-02-15 07:18:53.761000+00:00,2023-02-15 07:23:53.761000+00:00
61,Clerk-000001,Check application form completeness,2023-02-14 14:30:00+00:00,2023-02-15 07:25:41.343000+00:00
62,Clerk-000002,Return application back to applicant,2023-02-15 07:22:17.865000+00:00,2023-02-15 07:27:17.865000+00:00
60,Loan Officer-000004,Assess loan risk,2023-02-15 07:08:06.623000+00:00,2023-02-15 07:28:06.623000+00:00
61,AML Investigator-000001,AML check,2023-02-15 07:25:41.343000+00:00,2023-02-15 07:30:08.594000+00:00
61,Clerk-000003,Check credit history,2023-02-15 07:25:41.343000+00:00,2023-02-15 07:35:41.622000+00:00
63,Clerk-000004,Check application form completeness,2023-02-15 07:30:00+00:00,2023-02-15 07:38:42.418000+00:00
60,Loan Officer-000003,Design loan offer,2023-02-15 07:28:06.623000+00:00,2023-02-15 07:41:20.389000+00:00
59,Applicant-000001,Applicant completes form,2023-02-14 14:43:37.285000+00:00,2023-02-15 07:43:37.285000+00:00
61,Appraiser-000002,Appraise property,2023-02-15 07:25:41.343000+00:00,2023-02-15 07:52:42.449000+00:00
63,Clerk-000008,Check credit history,2023-02-15 07:38:42.418000+00:00,2023-02-15 07:55:58.730000+00:00
60,Senior Officer-000002,Approve loan offer,2023-02-15 07:41:20.389000+00:00,2023-02-15 08:01:20.389000+00:00
59,Clerk-000006,Check application form completeness,2023-02-15 07:43:37.285000+00:00,2023-02-15 08:02:10.430000+00:00
60,Clerk-000005,Approve application,2023-02-15 08:01:20.389000+00:00,2023-02-15 08:06:20.389000+00:00
63,Appraiser-000001,Appraise property,2023-02-15 07:38:42.418000+00:00,2023-02-15 08:08:17.085000+00:00
64,Clerk-000007,Check application form completeness,2023-02-15 08:00:00+00:00,2023-02-15 08:09:29.268000+00:00
64,Appraiser-000001,Appraise property,2023-02-15 08:09:29.268000+00:00,2023-02-15 08:11:12.871000+00:00
61,Loan Officer-000001,Assess loan risk,2023-02-15 07:52:42.449000+00:00,2023-02-15 08:12:42.449000+00:00
59,Appraiser-000002,Appraise property,2023-02-15 08:02:10.430000+00:00,2023-02-15 08:12:49.013000+00:00
61,Loan Officer-000002,Design loan offer,2023-02-15 08:12:42.449000+00:00,2023-02-15 08:14:29.250000+00:00
64,Clerk-000002,Check credit history,2023-02-15 08:09:29.268000+00:00,2023-02-15 08:32:11.133000+00:00
61,Senior Officer-000001,Approve loan offer,2023-02-15 08:14:29.250000+00:00,2023-02-15 08:34:29.250000+00:00
59,AML Investigator-000001,AML check,2023-02-15 08:02:10.430000+00:00,2023-02-15 08:34:47.232000+00:00
64,AML Investigator-000001,AML check,2023-02-15 08:34:47.232000+00:00,2023-02-15 08:35:17.883000+00:00
61,Clerk-000004,Cancel application,2023-02-15 08:34:29.250000+00:00,2023-02-15 08:39:29.250000+00:00
65,Clerk-000003,Check application form completeness,2023-02-15 08:30:00+00:00,2023-02-15 08:40:36.834000+00:00
62,Applicant-000001,Applicant completes form,2023-02-15 07:43:37.285000+00:00,2023-02-15 08:43:37.285000+00:00
65,Appraiser-000001,Appraise property,2023-02-15 08:40:36.834000+00:00,2023-02-15 08:43:44.483000+00:00
62,Clerk-000006,Check application form completeness,2023-02-15 08:43:37.285000+00:00,2023-02-15 08:44:01.203000+00:00
63,AML Investigator-000002,AML check,2023-02-15 07:38:42.418000+00:00,2023-02-15 08:55:07.344000+00:00
64,Loan Officer-000004,Assess loan risk,2023-02-15 08:35:17.883000+00:00,2023-02-15 08:55:17.883000+00:00
65,Clerk-000008,Check credit history,2023-02-15 08:40:36.834000+00:00,2023-02-15 08:57:02.775000+00:00
62,Clerk-000005,Check credit history,2023-02-15 08:44:01.203000+00:00,2023-02-15 08:57:51.330000+00:00
64,Clerk-000007,Reject application,2023-02-15 08:55:17.883000+00:00,2023-02-15 09:05:17.883000+00:00
59,Clerk-000001,Check credit history,2023-02-15 08:02:10.430000+00:00,2023-02-15 09:10:44.030000+00:00
62,AML Investigator-000002,AML check,2023-02-15 08:55:07.344000+00:00,2023-02-15 09:12:07.396000+00:00
62,Appraiser-000002,Appraise property,2023-02-15 08:44:01.203000+00:00,2023-02-15 09:13:21.323000+00:00
66,Clerk-000002,Check application form completeness,2023-02-15 09:00:00+00:00,2023-02-15 09:13:47.527000+00:00
63,Loan Officer-000003,Assess loan risk,2023-02-15 08:55:07.344000+00:00,2023-02-15 09:15:07.344000+00:00
66,Appraiser-000001,Appraise property,2023-02-15 09:13:47.527000+00:00,2023-02-15 09:15:25.624000+00:00
63,Clerk-000003,Reject application,2023-02-15 09:15:07.344000+00:00,2023-02-15 09:25:07.344000+00:00
59,Loan Officer-000001,Assess loan risk,2023-02-15 09:10:44.030000+00:00,2023-02-15 09:30:44.030000+00:00
59,Loan Officer-000004,Design loan offer,2023-02-15 09:30:44.030000+00:00,2023-02-15 09:32:02.920000+00:00
62,Loan Officer-000002,Assess loan risk,2023-02-15 09:13:21.323000+00:00,2023-02-15 09:33:21.323000+00:00
66,AML Investigator-000002,AML check,2023-02-15 09:13:47.527000+00:00,2023-02-15 09:42:20.173000+00:00
62,Clerk-000008,Reject application,2023-02-15 09:33:21.323000+00:00,2023-02-15 09:43:21.323000+00:00
59,Senior Officer-000002,Approve loan offer,2023-02-15 09:32:02.920000+00:00,2023-02-15 09:52:02.920000+00:00
59,Clerk-000005,Approve application,2023-02-15 09:52:02.920000+00:00,2023-02-15 09:57:02.920000+00:00
67,Clerk-000006,Check application form completeness,2023-02-15 09:30:00+00:00,2023-02-15 10:09:16.856000+00:00
67,AML Investigator-000002,AML check,2023-02-15 10:09:16.856000+00:00,2023-02-15 10:18:38.981000+00:00
68,Clerk-000007,Check application form completeness,2023-02-15 10:00:00+00:00,2023-02-15 10:23:59.843000+00:00
68,Appraiser-000001,Appraise property,2023-02-15 10:23:59.843000+00:00,2023-02-15 10:24:43.757000+00:00
68,Clerk-000002,Check credit history,2023-02-15 10:23:59.843000+00:00,2023-02-15 10:26:00.664000+00:00
65,AML Investigator-000001,AML check,2023-02-15 08:40:36.834000+00:00,2023-02-15 10:38:03.617000+00:00
69,Clerk-000003,Check application form completeness,2023-02-15 10:30:00+00:00,2023-02-15 10:42:20.532000+00:00
69,Appraiser-000001,Appraise property,2023-02-15 10:42:20.532000+00:00,2023-02-15 10:51:35.409000+00:00
65,Loan Officer-000003,Assess loan risk,2023-02-15 10:38:03.617000+00:00,2023-02-15 10:58:03.617000+00:00
67,Appraiser-000002,Appraise property,2023-02-15 10:09:16.856000+00:00,2023-02-15 10:58:29.121000+00:00
66,Clerk-000004,Check credit history,2023-02-15 09:13:47.527000+00:00,2023-02-15 10:59:19.544000+00:00
69,Clerk-000008,Check credit history,2023-02-15 10:42:20.532000+00:00,2023-02-15 11:06:08.633000+00:00
67,Clerk-000001,Check credit history,2023-02-15 10:09:16.856000+00:00,2023-02-15 11:09:52.597000+00:00
65,Loan Officer-000001,Design loan offer,2023-02-15 10:58:03.617000+00:00,2023-02-15 11:14:19.146000+00:00
70,Clerk-000005,Check application form completeness,2023-02-15 11:00:00+00:00,2023-02-15 11:16:22.772000+00:00
66,Loan Officer-000004,Assess loan risk,2023-02-15 10:59:19.544000+00:00,2023-02-15 11:19:19.544000+00:00
70,Clerk-000006,Return application back to applicant,2023-02-15 11:16:22.772000+00:00,2023-02-15 11:21:22.772000+00:00
66,Loan Officer-000003,Design loan offer,2023-02-15 11:19:19.544000+00:00,2023-02-15 11:29:38.448000+00:00
67,Loan Officer-000002,Assess loan risk,2023-02-15 11:09:52.597000+00:00,2023-02-15 11:29:52.597000+00:00
68,AML Investigator-000002,AML check,2023-02-15 10:23:59.843000+00:00,2023-02-15 11:31:09.590000+00:00
65,Senior Officer-000001,Approve loan offer,2023-02-15 11:14:19.146000+00:00,2023-02-15 11:34:19.146000+00:00
67,Loan Officer-000001,Design loan offer,2023-02-15 11:29:52.597000+00:00,2023-02-15 11:36:36.794000+00:00
65,Clerk-000002,Approve application,2023-02-15 11:34:19.146000+00:00,2023-02-15 11:39:19.146000+00:00
71,Clerk-000007,Check application form completeness,2023-02-15 11:30:00+00:00,2023-02-15 11:46:16.392000+00:00
71,AML Investigator-000002,AML check,2023-02-15 11:46:16.392000+00:00,2023-02-15 11:46:42.568000+00:00
66,Senior Officer-000002,Approve loan offer,2023-02-15 11:29:38.448000+00:00,2023-02-15 11:49:38.448000+00:00
68,Loan Officer-000004,Assess loan risk,2023-02-15 11:31:09.590000+00:00,2023-02-15 11:51:09.590000+00:00
66,Clerk-000004,Approve application,2023-02-15 11:49:38.448000+00:00,2023-02-15 11:54:38.448000+00:00
71,Appraiser-000001,Appraise property,2023-02-15 11:46:16.392000+00:00,2023-02-15 11:56:31.137000+00:00
67,Senior Officer-000001,Approve loan offer,2023-02-15 11:36:36.794000+00:00,2023-02-15 11:56:36.794000+00:00
71,Clerk-000003,Check credit history,2023-02-15 11:46:16.392000+00:00,2023-02-15 12:00:27.520000+00:00
67,Clerk-000008,Approve application,2023-02-15 11:56:36.794000+00:00,2023-02-15 12:01:36.794000+00:00
68,Loan Officer-000003,Design loan offer,2023-02-15 11:51:09.590000+00:00,2023-02-15 12:05:06.866000+00:00
69,AML Investigator-000001,AML check,2023-02-15 10:42:20.532000+00:00,2023-02-15 12:08:38.863000+00:00
72,Clerk-000001,Check application form completeness,2023-02-15 12:00:00+00:00,2023-02-15 12:15:17.304000+00:00
72,Clerk-000005,Check credit history,2023-02-15 12:15:17.304000+00:00,2023-02-15 12:18:42.700000+00:00
71,Loan Officer-000002,Assess loan risk,2023-02-15 12:00:27.520000+00:00,2023-02-15 12:20:27.520000+00:00
70,Applicant-000001,Applicant completes form,2023-02-15 11:21:22.772000+00:00,2023-02-15 12:21:22.772000+00:00
72,Appraiser-000002,Appraise property,2023-02-15 12:15:17.304000+00:00,2023-02-15 12:21:33.079000+00:00
70,Clerk-000002,Check application form completeness,2023-02-15 12:21:22.772000+00:00,2023-02-15 12:24:13.524000+00:00
68,Senior Officer-000002,Approve loan offer,2023-02-15 12:05:06.866000+00:00,2023-02-15 12:25:06.866000+00:00
69,Loan Officer-000001,Assess loan risk,2023-02-15 12:08:38.863000+00:00,2023-02-15 12:28:38.863000+00:00
70,Clerk-000007,Check credit history,2023-02-15 12:24:13.524000+00:00,2023-02-15 12:30:05.228000+00:00
68,Clerk-000004,Approve application,2023-02-15 12:25:06.866000+00:00,2023-02-15 12:30:06.866000+00:00
71,Clerk-000006,Reject application,2023-02-15 12:20:27.520000+00:00,2023-02-15 12:30:27.520000+00:00
73,Clerk-000008,Check application form completeness,2023-02-15 12:30:00+00:00,2023-02-15 12:36:02.881000+00:00
69,Clerk-000003,Reject application,2023-02-15 12:28:38.863000+00:00,2023-02-15 12:38:38.863000+00:00
70,AML Investigator-000001,AML check,2023-02-15 12:24:13.524000+00:00,2023-02-15 12:51:16.832000+00:00
70,Appraiser-000001,Appraise property,2023-02-15 12:24:13.524000+00:00,2023-02-15 12:52:49.704000+00:00
72,AML Investigator-000002,AML check,2023-02-15 12:15:17.304000+00:00,2023-02-15 12:57:08.223000+00:00
73,AML Investigator-000001,AML check,2023-02-15 12:51:16.832000+00:00,2023-02-15 12:59:34.775000+00:00
74,Clerk-000005,Check application form completeness,2023-02-15 13:00:00+00:00,2023-02-15 13:07:08.053000+00:00
73,Appraiser-000002,Appraise property,2023-02-15 12:36:02.881000+00:00,2023-02-15 13:09:01.027000+00:00
70,Loan Officer-000004,Assess loan risk,2023-02-15 12:52:49.704000+00:00,2023-02-15 13:12:49.704000+00:00
73,Clerk-000001,Check credit history,2023-02-15 12:36:02.881000+00:00,2023-02-15 13:13:21.724000+00:00
72,Loan Officer-000003,Assess loan risk,2023-02-15 12:57:08.223000+00:00,2023-02-15 13:17:08.223000+00:00
72,Loan Officer-000001,Design loan offer,2023-02-15 13:17:08.223000+00:00,2023-02-15 13:19:47.324000+00:00
70,Clerk-000007,Reject application,2023-02-15 13:12:49.704000+00:00,2023-02-15 13:22:49.704000+00:00
74,Appraiser-000001,Appraise property,2023-02-15 13:07:08.053000+00:00,2023-02-15 13:25:18.089000+00:00
74,Clerk-000002,Check credit history,2023-02-15 13:07:08.053000+00:00,2023-02-15 13:31:24.101000+00:00
73,Loan Officer-000002,Assess loan risk,2023-02-15 13:13:21.724000+00:00,2023-02-15 13:33:21.724000+00:00
72,Senior Officer-000001,Approve loan offer,2023-02-15 13:19:47.324000+00:00,2023-02-15 13:39:47.324000+00:00
73,Clerk-000006,Reject application,2023-02-15 13:33:21.724000+00:00,2023-02-15 13:43:21.724000+00:00
72,Clerk-000008,Cancel application,2023-02-15 13:39:47.324000+00:00,2023-02-15 13:44:47.324000+00:00
74,AML Investigator-000002,AML check,2023-02-15 13:07:08.053000+00:00,2023-02-15 13:54:07.694000+00:00
74,Loan Officer-000004,Assess loan risk,2023-02-15 13:54:07.694000+00:00,2023-02-15 14:14:07.694000+00:00
76,Clerk-000003,Check application form completeness,2023-02-15 14:00:00+00:00,2023-02-15 14:17:25.900000+00:00
76,Clerk-000001,Check credit history,2023-02-15 14:17:25.900000+00:00,2023-02-15 14:18:33.623000+00:00
74,Clerk-000005,Reject application,2023-02-15 14:14:07.694000+00:00,2023-02-15 14:24:07.694000+00:00
75,Clerk-000004,Check application form completeness,2023-02-15 13:30:00+00:00,2023-02-15 14:25:48.139000+00:00
75,AML Investigator-000002,AML check,2023-02-15 14:25:48.139000+00:00,2023-02-15 14:27:51.083000+00:00
75,Appraiser-000001,Appraise property,2023-02-15 14:25:48.139000+00:00,2023-02-15 14:32:59.085000+00:00
77,Clerk-000002,Check application form completeness,2023-02-15 14:30:00+00:00,2023-02-15 14:34:58.205000+00:00
77,AML Investigator-000002,AML check,2023-02-15 14:34:58.205000+00:00,2023-02-15 14:35:53.848000+00:00
75,Clerk-000007,Check credit history,2023-02-15 14:25:48.139000+00:00,2023-02-15 14:41:29.807000+00:00
76,Appraiser-000002,Appraise property,2023-02-15 14:17:25.900000+00:00,2023-02-15 14:46:18.455000+00:00
77,Clerk-000006,Check credit history,2023-02-15 14:34:58.205000+00:00,2023-02-15 14:48:37.506000+00:00
77,Appraiser-000001,Appraise property,2023-02-15 14:34:58.205000+00:00,2023-02-15 14:58:09.632000+00:00
75,Loan Officer-000003,Assess loan risk,2023-02-15 14:41:29.807000+00:00,2023-02-16 07:01:29.807000+00:00
76,AML Investigator-000001,AML check,2023-02-15 14:17:25.900000+00:00,2023-02-16 07:08:48.603000+00:00
75,Clerk-000003,Reject application,2023-02-16 07:01:29.807000+00:00,2023-02-16 07:11:29.807000+00:00
78,Clerk-000008,Check application form completeness,2023-02-15 15:00:00+00:00,2023-02-16 07:12:58.082000+00:00
78,AML Investigator-000002,AML check,2023-02-16 07:12:58.082000+00:00,2023-02-16 07:14:32.504000+00:00
77,Loan Officer-000001,Assess loan risk,2023-02-15 14:58:09.632000+00:00,2023-02-16 07:18:09.632000+00:00
77,Clerk-000005,Reject application,2023-02-16 07:18:09.632000+00:00,2023-02-16 07:28:09.632000+00:00
76,Loan Officer-000002,Assess loan risk,2023-02-16 07:08:48.603000+00:00,2023-02-16 07:28:48.603000+00:00
76,Loan Officer-000004,Design loan offer,2023-02-16 07:28:48.603000+00:00,2023-02-16 07:31:00.742000+00:00
79,Clerk-000004,Check application form completeness,2023-02-16 07:30:00+00:00,2023-02-16 07:35:51.401000+00:00
79,Clerk-000002,Return application back to applicant,2023-02-16 07:35:51.401000+00:00,2023-02-16 07:40:51.401000+00:00
76,Senior Officer-000002,Approve loan offer,2023-02-16 07:31:00.742000+00:00,2023-02-16 07:51:00.742000+00:00
76,Clerk-000007,Cancel application,2023-02-16 07:51:00.742000+00:00,2023-02-16 07:56:00.742000+00:00
78,Clerk-000001,Check credit history,2023-02-16 07:12:58.082000+00:00,2023-02-16 08:00:20.121000+00:00
80,Clerk-000006,Check application form completeness,2023-02-16 08:00:00+00:00,2023-02-16 08:04:12.110000+00:00
